1. Max Holmes, Nasiah Wanganeen-Milera, Mitch Owens, Tom Atkins
117. Hugo Garcia, Oisin Mullin, Zach Guthrie, Campbell Lake
118. Hugo Garcia, Tom Stewart, Shaun Mannagh, Hunter Clark
119. Sam De Koning, Jack Silvagni, Jhye Clark, Mattaes Phillipou
120. Gryan Miers, Liam Stocker, Jhye Clark, Mattaes Phillipou
121. Rowan Marshall, Oisin Mullin, Bradley Hill, Campbell Lake
122. Cooper Sharman, Jack Higgins, Brad Close, Jack Henry
123. Cooper Sharman, Liam Ryan, Shaun Mannagh, Jhye Clark
124. Gryan Miers, Shaun Mannagh, Tom Atkins, Oliver Henry
125. Max Hall, Mark O'Connor, Tobie Travaglia, James Worpel
126. Lawson Humphries, Brad Close, Jack Silvagni, Liam Henry
127. Nasiah Wanganeen-Milera, Zach Guthrie, Lawson Humphries, Liam O'Connell
128. Oliver Dempsey, Bradley Hill, Jack Silvagni, James Worpel
129. Mitchell Edwards, Oisin Mullin, Max Hall, Marcus Windhager
130. Max Holmes, Tom Stewart, Sam De Koning, Jay Polkinghorne
131. Jack Higgins, Oliver Wiltshire, Shaun Mannagh, Liam Henry
132. Nasiah Wanganeen-Milera, Oliver Wiltshire, Callum Wilkie, Jay Polkinghorne
133. Mitch Owens, Jay Polkinghorne, Tobie Travaglia, Mattaes Phillipou
134. Max Holmes, Nasiah Wanganeen-Milera, Cooper Sharman, Darcy Wilson
135. Tom Stewart, Lawson Humphries, Liam O'Connell, Patrick Dangerfield
136. Mason Wood, Liam O'Connell, Darcy Wilson, Hunter Clark
137. Hugo Garcia, Tom Stewart, Cooper Sharman, Bailey Smith
138. Zach Guthrie, Jack Higgins, Jack Silvagni, Jack Henry
139. Mitchell Edwards, Rowan Marshall, Anthony Caminiti, Liam Henry
140. Nasiah Wanganeen-Milera, Liam O'Connell, Brad Close, Shannon Neale
141. Mark O'Connor, Patrick Dangerfield, Jhye Clark, Jack Henry
142. Hugo Garcia, Liam Ryan, Oliver Dempsey, Jay Polkinghorne
143. Liam Ryan, Liam O'Connell, Anthony Caminiti, Jack Henry
144. Max Holmes, Hugo Garcia, Jack Higgins, Darcy Wilson
145. Tom Stewart, Liam O'Connell, Anthony Caminiti, Tom Atkins
146. Liam Ryan, Liam O'Connell, Anthony Caminiti, Tobie Travaglia
147. Liam Stocker, Patrick Dangerfield, Tobie Travaglia, Liam Henry
148. Oisin Mullin, Tom Stewart, Cooper Sharman, Mattaes Phillipou
149. Hugo Garcia, Oisin Mullin, Zach Guthrie, Oliver Henry
150. Cooper Sharman, Mason Wood, Marcus Windhager, Campbell Lake
151. Hugo Garcia, Mitch Owens, Mark O'Connor, Liam Henry
152. Jack Higgins, Ryan Byrnes, Shaun Mannagh, Liam Henry
153. Lawson Humphries, Anthony Caminiti, Jhye Clark, Liam Henry
154. Mitchell Edwards, Rowan Marshall, Nasiah Wanganeen-Milera, Bradley Hill
155. Gryan Miers, Jay Polkinghorne, Tom Atkins, Liam Henry
156. Mitch Owens, Liam Ryan, Liam O'Connell, Jhye Clark
157. Mark O'Connor, Jack Higgins, Oliver Dempsey, Tom Atkins
158. Mitchell Edwards, Mitch Owens, Cooper Sharman, Liam Stocker
159. Max Holmes, Nasiah Wanganeen-Milera, Mason Wood, Tobie Travaglia
160. Connor O'Sullivan, Oliver Wiltshire, Gryan Miers, James Worpel
161. Tom Stewart, Shannon Neale, Tobie Travaglia, Tom Atkins
162. Nasiah Wanganeen-Milera, Mitch Owens, Mason Wood, Oliver Dempsey
163. Rowan Marshall, Hugo Garcia, Tom Stewart, Jack Higgins
164. Nasiah Wanganeen-Milera, Mitch Owens, Gryan Miers, James Worpel
165. Bailey Smith, Oliver Wiltshire, Tobie Travaglia, Hunter Clark
166. Rowan Marshall, Sam De Koning, Darcy Wilson, Callum Wilkie
167. Rowan Marshall, Max Hall, Hunter Clark, James Worpel
168. Mark O'Connor, Liam Ryan, Oliver Wiltshire, Tom Atkins
169. Rowan Marshall, Tom Stewart, Brad Close, Patrick Dangerfield
170. Jack Higgins, Oliver Dempsey, Brad Close, Jack Henry
171. Max Holmes, Sam De Koning, Oliver Wiltshire, Jhye Clark
172. Max Holmes, Mason Wood, Bradley Hill, Shannon Neale
173. Max Hall, Liam O'Connell, Tobie Travaglia, Liam Henry
174. Oliver Dempsey, Gryan Miers, Shaun Mannagh, Hunter Clark
175. Hugo Garcia, Connor O'Sullivan, Ryan Byrnes, Tom Atkins
176. Nasiah Wanganeen-Milera, Bailey Smith, James Worpel, Oliver Henry
177. Lawson Humphries, Shaun Mannagh, Brad Close, Mattaes Phillipou
178. Shaun Mannagh, Shannon Neale, Liam Henry, Mattaes Phillipou
179. Mason Wood, Zach Guthrie, Lawson Humphries, Oliver Wiltshire
180. Oisin Mullin, Mason Wood, Lawson Humphries, Jack Henry
181. Jack Higgins, Gryan Miers, Liam Henry, Campbell Lake
182. Oisin Mullin, Tom Stewart, Jack Silvagni, Campbell Lake
183. Mitch Owens, Cooper Sharman, Max Hall, Shaun Mannagh
184. Sam De Koning, Mason Wood, Darcy Wilson, Bradley Hill
185. Cooper Sharman, Mason Wood, Lawson Humphries, Campbell Lake
186. Mason Wood, Oliver Wiltshire, Ryan Byrnes, Mattaes Phillipou
187. Liam Ryan, Jhye Clark, Hunter Clark, Oliver Henry
188. Zach Guthrie, Lawson Humphries, Oliver Wiltshire, Jack Henry
189. Max Holmes, Connor O'Sullivan, Marcus Windhager, Tobie Travaglia
190. Nasiah Wanganeen-Milera, Sam De Koning, Oliver Wiltshire, Jack Silvagni
191. Oisin Mullin, Oliver Dempsey, Shannon Neale, Tobie Travaglia
192. Rowan Marshall, Nasiah Wanganeen-Milera, Tom Stewart, Jack Higgins
193. Mitch Owens, Brad Close, Jay Polkinghorne, Tom Atkins
194. Mitchell Edwards, Mitch Owens, Darcy Wilson, Tobie Travaglia
195. Oliver Wiltshire, Jhye Clark, Tom Atkins, Jack Henry
196. Oliver Dempsey, Anthony Caminiti, Jay Polkinghorne, Tobie Travaglia
197. Oisin Mullin, Darcy Wilson, Jack Silvagni, Hunter Clark
198. Oliver Wiltshire, Tobie Travaglia, Hunter Clark, Mattaes Phillipou
199. Oisin Mullin, Liam Ryan, Bradley Hill, Hunter Clark
200. Mitchell Edwards, Hugo Garcia, Oisin Mullin, Liam Henry
201. Rowan Marshall, Mitch Owens, Jack Higgins, Jhye Clark
202. Rowan Marshall, Hugo Garcia, Max Hall, Marcus Windhager
203. Oisin Mullin, Oliver Wiltshire, Bradley Hill, Tobie Travaglia
204. Rowan Marshall, Tom Stewart, Sam De Koning, Mark O'Connor
205. Mitchell Edwards, Zach Guthrie, Max Hall, Jack Henry
206. Mitch Owens, Liam O'Connell, Brad Close, Anthony Caminiti
207. Rowan Marshall, Mitch Owens, Lawson Humphries, Brad Close
208. Liam Ryan, Shaun Mannagh, Tobie Travaglia, Campbell Lake
209. Nasiah Wanganeen-Milera, Tom Stewart, Oliver Wiltshire, Jay Polkinghorne
210. Tom Stewart, Connor O'Sullivan, Liam Stocker, Jhye Clark
211. Mark O'Connor, Liam Ryan, Lawson Humphries, James Worpel
212. Oisin Mullin, Zach Guthrie, Marcus Windhager, Darcy Wilson
213. Jack Higgins, Gryan Miers, Tom Atkins, Mattaes Phillipou
214. Max Holmes, Max Hall, Bradley Hill, Jack Silvagni
215. Bailey Smith, Liam Stocker, Tom Atkins, Mattaes Phillipou
216. Marcus Windhager, Gryan Miers, Shaun Mannagh, Tom Atkins
217. Max Hall, Jack Higgins, Jhye Clark, James Worpel
218. Nasiah Wanganeen-Milera, Connor O'Sullivan, Bailey Smith, Marcus Windhager
219. Max Hall, Oliver Dempsey, Bailey Smith, Callum Wilkie
220. Sam De Koning, Liam Ryan, Jay Polkinghorne, Oliver Henry
221. Hugo Garcia, Gryan Miers, James Worpel, Campbell Lake
222. Rowan Marshall, Liam O'Connell, Patrick Dangerfield, Mattaes Phillipou
223. Rowan Marshall, Marcus Windhager, Oliver Henry, Campbell Lake
224. Mason Wood, Lawson Humphries, Liam Stocker, Liam Henry
225. Connor O'Sullivan, Liam Ryan, Ryan Byrnes, Shannon Neale
226. Mason Wood, Zach Guthrie, Bailey Smith, Anthony Caminiti
227. Sam De Koning, Oliver Dempsey, Bradley Hill, Callum Wilkie
228. Max Hall, Mark O'Connor, Bailey Smith, Mattaes Phillipou
229. Rowan Marshall, Max Holmes, Hugo Garcia, Mark O'Connor
230. Rowan Marshall, Darcy Wilson, Anthony Caminiti, Jack Henry
231. Rowan Marshall, Hugo Garcia, Jay Polkinghorne, Jhye Clark
232. Sam De Koning, Max Hall, Bailey Smith, Ryan Byrnes
233. Mitch Owens, Anthony Caminiti, Jay Polkinghorne, Liam Henry
234. Max Holmes, Oisin Mullin, Mark O'Connor, James Worpel
235. Nasiah Wanganeen-Milera, Sam De Koning, Callum Wilkie, Campbell Lake
236. Hugo Garcia, Shaun Mannagh, Jay Polkinghorne, Hunter Clark
237. Hugo Garcia, Gryan Miers, Jay Polkinghorne, Tom Atkins
238. Jack Higgins, Marcus Windhager, Anthony Caminiti, Jack Silvagni
239. Zach Guthrie, Mark O'Connor, Liam Stocker, Patrick Dangerfield
240. Max Holmes, Oliver Dempsey, Anthony Caminiti, Jay Polkinghorne
241. Sam De Koning, Callum Wilkie, James Worpel, Oliver Henry
242. Hugo Garcia, Oliver Dempsey, Gryan Miers, Shaun Mannagh
243. Tom Stewart, Connor O'Sullivan, Brad Close, Jhye Clark
244. Zach Guthrie, Shaun Mannagh, Hunter Clark, James Worpel
245. Nasiah Wanganeen-Milera, Mason Wood, Liam O'Connell, Campbell Lake
246. Rowan Marshall, Cooper Sharman, Zach Guthrie, Liam Henry
247. Mason Wood, Bradley Hill, Shannon Neale, Hunter Clark
248. Oliver Dempsey, Gryan Miers, Jhye Clark, Liam Henry
249. Rowan Marshall, Darcy Wilson, Gryan Miers, Brad Close
250. Mitchell Edwards, Liam Stocker, Patrick Dangerfield, Tom Atkins
251. Jack Higgins, Shaun Mannagh, Tobie Travaglia, Oliver Henry
252. Mitchell Edwards, Nasiah Wanganeen-Milera, Liam Ryan, Hunter Clark
253. Rowan Marshall, Oliver Dempsey, Jay Polkinghorne, James Worpel
254. Nasiah Wanganeen-Milera, Tom Stewart, Connor O'Sullivan, Marcus Windhager
255. Hugo Garcia, Cooper Sharman, Max Hall, Gryan Miers
256. Sam De Koning, Liam Ryan, Gryan Miers, Patrick Dangerfield
257. Mark O'Connor, Liam Ryan, Oliver Dempsey, Oliver Henry
258. Max Hall, Shaun Mannagh, Callum Wilkie, Liam Henry
259. Oisin Mullin, Zach Guthrie, Lawson Humphries, Ryan Byrnes
260. Sam De Koning, Zach Guthrie, Darcy Wilson, Tom Atkins
261. Rowan Marshall, Hugo Garcia, Mason Wood, Darcy Wilson
262. Hugo Garcia, Connor O'Sullivan, Liam O'Connell, Oliver Henry
263. Cooper Sharman, Mark O'Connor, Liam Ryan, Liam Henry
264. Mitchell Edwards, Rowan Marshall, Jack Higgins, Mattaes Phillipou
265. Cooper Sharman, Oliver Wiltshire, Liam Stocker, Jhye Clark
266. Nasiah Wanganeen-Milera, Marcus Windhager, Darcy Wilson, Liam Stocker
267. Zach Guthrie, Oliver Dempsey, Jay Polkinghorne, Tom Atkins
268. Tom Stewart, Mason Wood, Shaun Mannagh, Mattaes Phillipou
269. Mason Wood, Zach Guthrie, Liam Ryan, Lawson Humphries
270. Liam O'Connell, Bailey Smith, Darcy Wilson, Callum Wilkie
271. Mark O'Connor, Liam Ryan, Shannon Neale, Liam Henry
272. Hugo Garcia, Oisin Mullin, Hunter Clark, Campbell Lake
273. Hugo Garcia, Gryan Miers, Brad Close, Tobie Travaglia
274. Tom Stewart, Oliver Dempsey, Gryan Miers, Liam Stocker
275. Oisin Mullin, Mark O'Connor, Oliver Dempsey, Campbell Lake
276. Rowan Marshall, Hugo Garcia, Sam De Koning, Oliver Dempsey
277. Marcus Windhager, Brad Close, Jack Silvagni, James Worpel
278. Jack Higgins, Bradley Hill, Hunter Clark, Oliver Henry
279. Rowan Marshall, Oisin Mullin, Nasiah Wanganeen-Milera, Anthony Caminiti
280. Mitch Owens, Cooper Sharman, Hunter Clark, James Worpel
281. Rowan Marshall, Max Holmes, Patrick Dangerfield, Mattaes Phillipou
282. Mitchell Edwards, Shaun Mannagh, Callum Wilkie, Jack Silvagni
283. Oliver Wiltshire, Ryan Byrnes, Jack Silvagni, Hunter Clark
284. Max Hall, Marcus Windhager, Gryan Miers, Jack Henry
285. Liam Ryan, Lawson Humphries, Bailey Smith, Hunter Clark
286. Lawson Humphries, Jay Polkinghorne, Jhye Clark, Oliver Henry
287. Hugo Garcia, Nasiah Wanganeen-Milera, Anthony Caminiti, Shannon Neale
288. Rowan Marshall, Max Holmes, Shaun Mannagh, Jay Polkinghorne
289. Liam Ryan, Liam O'Connell, Jay Polkinghorne, Campbell Lake
290. Rowan Marshall, Mason Wood, Liam Ryan, Anthony Caminiti
291. Hugo Garcia, Bailey Smith, Darcy Wilson, Jay Polkinghorne
292. Rowan Marshall, Tom Stewart, Liam O'Connell, Tom Atkins
293. Gryan Miers, Ryan Byrnes, Callum Wilkie, Jhye Clark
294. Rowan Marshall, Tom Stewart, Mark O'Connor, Anthony Caminiti
295. Oisin Mullin, Callum Wilkie, Jhye Clark, Oliver Henry
296. Sam De Koning, Max Hall, Hunter Clark, Mattaes Phillipou
297. Max Holmes, Connor O'Sullivan, Mason Wood, Bradley Hill
298. Bailey Smith, Ryan Byrnes, Jay Polkinghorne, Jack Henry
299. Nasiah Wanganeen-Milera, Cooper Sharman, Patrick Dangerfield, Hunter Clark
300. Marcus Windhager, Brad Close, Patrick Dangerfield, Shannon Neale
301. Darcy Wilson, Hunter Clark, Oliver Henry, Campbell Lake
302. Mitchell Edwards, Lawson Humphries, Patrick Dangerfield, Callum Wilkie
303. Shannon Neale, Jhye Clark, Hunter Clark, Jack Henry
304. Rowan Marshall, Zach Guthrie, Mark O'Connor, Gryan Miers
305. Sam De Koning, Liam Stocker, Patrick Dangerfield, Hunter Clark
306. Oliver Wiltshire, Ryan Byrnes, Shaun Mannagh, Callum Wilkie
307. Liam O'Connell, Tobie Travaglia, Liam Henry, Mattaes Phillipou
308. Lawson Humphries, Bailey Smith, Shannon Neale, Jay Polkinghorne
309. Mitch Owens, Mason Wood, Liam Ryan, Bradley Hill
310. Nasiah Wanganeen-Milera, Jack Higgins, Liam Stocker, Tom Atkins
311. Oisin Mullin, Connor O'Sullivan, Sam De Koning, Liam Henry
312. Mitch Owens, Sam De Koning, Liam Ryan, Jack Higgins
313. Nasiah Wanganeen-Milera, Tom Stewart, Shannon Neale, Tom Atkins
314. Nasiah Wanganeen-Milera, Marcus Windhager, Brad Close, James Worpel
315. Cooper Sharman, Patrick Dangerfield, Callum Wilkie, Hunter Clark
316. Max Holmes, Zach Guthrie, James Worpel, Campbell Lake
317. Tom Stewart, Marcus Windhager, Oliver Wiltshire, Anthony Caminiti
318. Zach Guthrie, Bailey Smith, Patrick Dangerfield, Oliver Henry
319. Mitch Owens, Mason Wood, Max Hall, Hunter Clark
320. Rowan Marshall, Connor O'Sullivan, Cooper Sharman, Brad Close
321. Mitchell Edwards, Hugo Garcia, Oliver Wiltshire, Patrick Dangerfield
322. Zach Guthrie, Marcus Windhager, Anthony Caminiti, Shannon Neale
323. Jay Polkinghorne, Hunter Clark, Mattaes Phillipou, Campbell Lake
324. Liam O'Connell, Bradley Hill, Shannon Neale, Jay Polkinghorne
325. Rowan Marshall, Ryan Byrnes, Shannon Neale, Hunter Clark
326. Rowan Marshall, Connor O'Sullivan, Liam Ryan, Marcus Windhager
327. Jack Higgins, Oliver Wiltshire, Mattaes Phillipou, Campbell Lake
328. Oisin Mullin, Mason Wood, Jack Silvagni, Tobie Travaglia
329. Liam Ryan, Oliver Dempsey, Darcy Wilson, Jhye Clark
330. Nasiah Wanganeen-Milera, Marcus Windhager, Darcy Wilson, Shaun Mannagh
331. Max Holmes, Max Hall, Anthony Caminiti, Oliver Henry
332. Connor O'Sullivan, Zach Guthrie, Ryan Byrnes, Jack Henry
333. Rowan Marshall, Tom Stewart, Oliver Wiltshire, Tobie Travaglia
334. Nasiah Wanganeen-Milera, Cooper Sharman, Sam De Koning, Darcy Wilson
335. Connor O'Sullivan, Callum Wilkie, Jack Silvagni, James Worpel
336. Tom Stewart, Mason Wood, Darcy Wilson, Jay Polkinghorne
337. Hugo Garcia, Nasiah Wanganeen-Milera, Tom Atkins, Oliver Henry
338. Mason Wood, Oliver Wiltshire, Liam Stocker, Brad Close
339. Jack Higgins, Shannon Neale, Tom Atkins, Oliver Henry
340. Tom Stewart, Darcy Wilson, Shannon Neale, Callum Wilkie
341. Brad Close, Patrick Dangerfield, Mattaes Phillipou, Oliver Henry
342. Lawson Humphries, Brad Close, Anthony Caminiti, Liam Henry
343. Mitchell Edwards, Hugo Garcia, Cooper Sharman, Lawson Humphries
344. Oliver Dempsey, Callum Wilkie, Tobie Travaglia, Oliver Henry
345. Tom Stewart, Bailey Smith, Liam Stocker, Campbell Lake
346. Rowan Marshall, Callum Wilkie, Jay Polkinghorne, Liam Henry
347. Max Holmes, Mark O'Connor, Callum Wilkie, Jack Silvagni
348. Nasiah Wanganeen-Milera, Bailey Smith, Liam Stocker, Shannon Neale
349. Max Holmes, Tom Stewart, Oliver Dempsey, Liam O'Connell
350. Max Holmes, Hugo Garcia, Darcy Wilson, James Worpel
351. Hugo Garcia, Nasiah Wanganeen-Milera, Sam De Koning, Liam Ryan
352. Nasiah Wanganeen-Milera, Anthony Caminiti, Jhye Clark, Campbell Lake
353. Tom Stewart, Sam De Koning, Zach Guthrie, Campbell Lake
354. Shaun Mannagh, Brad Close, Callum Wilkie, Jack Silvagni
355. Oisin Mullin, Sam De Koning, Liam Stocker, Oliver Henry
356. Connor O'Sullivan, Cooper Sharman, Patrick Dangerfield, Jack Silvagni
357. Oisin Mullin, Mitch Owens, Patrick Dangerfield, Mattaes Phillipou
358. Nasiah Wanganeen-Milera, Bailey Smith, Marcus Windhager, Brad Close
359. Liam Ryan, Jack Higgins, James Worpel, Liam Henry
360. Mark O'Connor, Lawson Humphries, Oliver Henry, Campbell Lake
361. Nasiah Wanganeen-Milera, Zach Guthrie, Max Hall, Shannon Neale
362. Mitchell Edwards, Liam Stocker, Jay Polkinghorne, Mattaes Phillipou
363. Rowan Marshall, Oliver Dempsey, Bailey Smith, Shannon Neale
364. Mason Wood, Zach Guthrie, Bailey Smith, Patrick Dangerfield
365. Tom Stewart, Connor O'Sullivan, Cooper Sharman, Jack Henry
366. Mitchell Edwards, Liam O'Connell, Tobie Travaglia, Liam Henry
367. Mitchell Edwards, Rowan Marshall, Hunter Clark, Oliver Henry
368. Mitch Owens, Oliver Wiltshire, Liam Stocker, Hunter Clark
369. Max Holmes, Zach Guthrie, Tom Atkins, Liam Henry
370. Nasiah Wanganeen-Milera, Oliver Dempsey, Ryan Byrnes, Jhye Clark
371. Hugo Garcia, Mitch Owens, Liam Ryan, Liam O'Connell
