1. Isaac Heeney | Daniel Curtin | William Edwards | Braeden Campbell
33. Sam Berry | Daniel Curtin | Darcy Fogarty | James Jordon
34. Chad Warner | Dane Rampe | Zac Taylor | Luke Nankervis
35. William Edwards | James Rowbottom | Wayne Milera | James Borlase
36. Lachlan McAndrew | Brayden Cook | Hayden McLean | James Peatling
37. Lachlan McAndrew | Matt Roberts | Jake Lloyd | Zac Taylor
38. Alex Neal-Bullen | Harry Cunningham | James Rowbottom | Wayne Milera
39. Lachlan McAndrew | Isaac Cumming | James Borlase | Malcolm Rosas
40. Tom McCartin | Matt Roberts | Tom Papley | Logan McDonald
41. Tom McCartin | Darcy Fogarty | Riley Thilthorpe | Jordan Dawson
42. Jake Lloyd | Ben Keays | Zac Taylor | Logan McDonald
43. Daniel Curtin | Jai Serong | Josh Worrell | Brayden Cook
44. Brodie Grundy | Errol Gulden | Jake Lloyd | Riley Bice
45. Dane Rampe | Jordan Dawson | James Borlase | Angus Sheldrick
46. Izak Rankine | Isaac Cumming | Tom Papley | Max Michalanney
47. Isaac Heeney | Darcy Fogarty | Nick Blakey | James Borlase
48. Alex Neal-Bullen | Nick Blakey | Hayden McLean | James Borlase
49. Lachlan McAndrew | Darcy Fogarty | Hugo Hall-Kahan | Malcolm Rosas
50. Matt Roberts | Wayne Milera | Charlie Curnow | Hayden McLean
51. Callum Mills | Josh Rachele | Zac Taylor | Toby Murray
52. Charlie Curnow | Braeden Campbell | Toby Murray | Malcolm Rosas
53. Tom McCartin | Jai Serong | Riley Bice | Angus Sheldrick
54. Isaac Cumming | Jake Lloyd | Max Michalanney | Angus Sheldrick
55. Sam Berry | Wayne Milera | Ben Keays | Angus Sheldrick
56. Lachlan McAndrew | Callum Mills | James Borlase | Zac Taylor
57. Brodie Grundy | Isaac Cumming | Wayne Milera | Luke Nankervis
58. Chad Warner | Isaac Cumming | Josh Worrell | Max Michalanney
59. Callum Mills | Nick Blakey | Tom Papley | Braeden Campbell
60. Lachlan McAndrew | Jake Soligo | Dane Rampe | Logan McDonald
61. Chad Warner | Wayne Milera | Max Michalanney | Ben Keays
62. Lachlan McAndrew | Wayne Milera | Josh Worrell | Logan McDonald
63. Alex Neal-Bullen | Harry Cunningham | Josh Worrell | Malcolm Rosas
64. Callum Mills | Tom McCartin | Isaac Cumming | Wayne Milera
65. Dane Rampe | Izak Rankine | Brayden Cook | Mark Keane
66. Tom McCartin | James Jordon | James Rowbottom | Luke Nankervis
67. Sam Berry | William Edwards | James Rowbottom | Riley Bice
68. Tom McCartin | Riley Bice | Zac Taylor | Luke Nankervis
69. Tom McCartin | Riley Thilthorpe | Matt Roberts | James Peatling
70. Chad Warner | Darcy Fogarty | Josh Rachele | Hayden McLean
71. Daniel Curtin | Jordan Dawson | Riley Bice | Malcolm Rosas
72. Lachlan McAndrew | William Edwards | Isaac Cumming | Toby Murray
73. Wayne Milera | Charlie Curnow | Hayden McLean | James Peatling
74. Sam Berry | Jake Soligo | Riley Thilthorpe | James Peatling
75. Izak Rankine | Errol Gulden | Hayden McLean | Mark Keane
76. Daniel Curtin | Alex Neal-Bullen | Harry Cunningham | Charlie Curnow
77. Sam Berry | Tom McCartin | Alex Neal-Bullen | Jake Lloyd
78. Dane Rampe | James Rowbottom | Tom Papley | Max Michalanney
79. Alex Neal-Bullen | Harry Cunningham | Jai Serong | Hayden McLean
80. Daniel Curtin | James Rowbottom | James Borlase | Logan McDonald
81. Errol Gulden | Isaac Cumming | Jake Lloyd | James Rowbottom
82. Chad Warner | Josh Rachele | Isaac Cumming | Ben Keays
83. William Edwards | Josh Rachele | Jai Serong | Malcolm Rosas
84. Lachlan McAndrew | Isaac Heeney | Riley Thilthorpe | Jordan Dawson
85. Chad Warner | Jordan Dawson | Charlie Curnow | Riley Bice
86. Brodie Grundy | Dane Rampe | Jai Serong | James Rowbottom
87. William Edwards | Darcy Fogarty | Brayden Cook | Mark Keane
88. Darcy Fogarty | Dane Rampe | Jake Lloyd | Brayden Cook
89. Daniel Curtin | Hugo Hall-Kahan | Max Michalanney | James Peatling
90. Lachlan McAndrew | Daniel Curtin | Jake Lloyd | Hayden McLean
91. Chad Warner | Darcy Fogarty | James Borlase | Braeden Campbell
92. Jai Serong | Jordan Dawson | Hayden McLean | Angus Sheldrick
93. William Edwards | Darcy Fogarty | Errol Gulden | Riley Bice
94. Chad Warner | Jake Soligo | Jake Lloyd | James Peatling
95. Harry Cunningham | Wayne Milera | Ben Keays | Logan McDonald
96. Alex Neal-Bullen | Brayden Cook | Toby Murray | Malcolm Rosas
97. Dane Rampe | Jordan Dawson | Jake Lloyd | Wayne Milera
98. Isaac Heeney | Jai Serong | Braeden Campbell | Malcolm Rosas
99. Daniel Curtin | Jai Serong | James Borlase | Angus Sheldrick
100. Isaac Heeney | Matt Roberts | Hugo Hall-Kahan | Tom Papley
101. Daniel Curtin | Alex Neal-Bullen | Angus Sheldrick | Luke Nankervis
102. Errol Gulden | James Rowbottom | Tom Papley | Malcolm Rosas
103. Izak Rankine | James Jordon | Hayden McLean | Max Michalanney
104. Daniel Curtin | Errol Gulden | Jai Serong | Wayne Milera
105. Jordan Dawson | James Rowbottom | Tom Papley | Mark Keane
106. Jake Soligo | Harry Cunningham | James Peatling | Malcolm Rosas
107. Jordan Dawson | James Jordon | Ben Keays | James Peatling
108. Darcy Fogarty | Jake Soligo | Josh Worrell | Toby Murray
109. Tom McCartin | Isaac Cumming | James Jordon | Mark Keane
110. Chad Warner | Josh Rachele | Matt Roberts | Mark Keane
111. Isaac Heeney | Izak Rankine | Hugo Hall-Kahan | Logan McDonald
112. Josh Rachele | Isaac Cumming | James Rowbottom | Tom Papley
113. Harry Cunningham | Jai Serong | Mark Keane | James Peatling
114. Lachlan McAndrew | Izak Rankine | Errol Gulden | Malcolm Rosas
115. Brodie Grundy | Jordan Dawson | Max Michalanney | Malcolm Rosas
116. Isaac Heeney | Chad Warner | Matt Roberts | Jake Lloyd
117. Sam Berry | Chad Warner | Dane Rampe | Luke Nankervis
118. Sam Berry | Callum Mills | James Rowbottom | Zac Taylor
119. Darcy Fogarty | Mark Keane | Riley Bice | James Peatling
120. James Jordon | Wayne Milera | Riley Bice | James Peatling
121. Lachlan McAndrew | Chad Warner | Brayden Cook | Luke Nankervis
122. Alex Neal-Bullen | Izak Rankine | Josh Worrell | Angus Sheldrick
123. Alex Neal-Bullen | Josh Rachele | James Rowbottom | Riley Bice
124. James Jordon | James Rowbottom | Braeden Campbell | Malcolm Rosas
125. Nick Blakey | Harry Cunningham | Ben Keays | Logan McDonald
126. Riley Thilthorpe | Josh Worrell | Mark Keane | Toby Murray
127. Daniel Curtin | Dane Rampe | Riley Thilthorpe | Errol Gulden
128. Matt Roberts | Brayden Cook | Mark Keane | Logan McDonald
129. Brodie Grundy | Chad Warner | Nick Blakey | Isaac Cumming
130. Isaac Heeney | Callum Mills | Darcy Fogarty | James Borlase
131. Izak Rankine | Jordan Dawson | James Rowbottom | Toby Murray
132. Daniel Curtin | Jordan Dawson | Max Michalanney | James Borlase
133. William Edwards | James Borlase | Ben Keays | James Peatling
134. Isaac Heeney | Daniel Curtin | Alex Neal-Bullen | Hugo Hall-Kahan
135. Callum Mills | Riley Thilthorpe | Errol Gulden | Tom Papley
136. Jake Soligo | Errol Gulden | Hugo Hall-Kahan | Zac Taylor
137. Sam Berry | Callum Mills | Alex Neal-Bullen | Jai Serong
138. Dane Rampe | Izak Rankine | Mark Keane | Angus Sheldrick
139. Brodie Grundy | Lachlan McAndrew | Charlie Curnow | Toby Murray
140. Daniel Curtin | Errol Gulden | Josh Worrell | Hayden McLean
141. Harry Cunningham | Tom Papley | Riley Bice | Angus Sheldrick
142. Sam Berry | Josh Rachele | Matt Roberts | James Borlase
143. Josh Rachele | Errol Gulden | Charlie Curnow | Angus Sheldrick
144. Isaac Heeney | Sam Berry | Izak Rankine | Hugo Hall-Kahan
145. Callum Mills | Errol Gulden | Charlie Curnow | Braeden Campbell
146. Josh Rachele | Errol Gulden | Charlie Curnow | Ben Keays
147. Wayne Milera | Tom Papley | Ben Keays | Toby Murray
148. Chad Warner | Callum Mills | Alex Neal-Bullen | James Peatling
149. Sam Berry | Chad Warner | Dane Rampe | Malcolm Rosas
150. Alex Neal-Bullen | Jake Soligo | Isaac Cumming | Luke Nankervis
151. Sam Berry | William Edwards | Harry Cunningham | Toby Murray
152. Izak Rankine | Jake Lloyd | James Rowbottom | Toby Murray
153. Riley Thilthorpe | Charlie Curnow | Riley Bice | Toby Murray
154. Brodie Grundy | Lachlan McAndrew | Daniel Curtin | Brayden Cook
155. James Jordon | James Borlase | Braeden Campbell | Toby Murray
156. William Edwards | Josh Rachele | Errol Gulden | Riley Bice
157. Harry Cunningham | Izak Rankine | Matt Roberts | Braeden Campbell
158. Brodie Grundy | William Edwards | Alex Neal-Bullen | Wayne Milera
159. Isaac Heeney | Daniel Curtin | Jake Soligo | Ben Keays
160. Tom McCartin | Jordan Dawson | James Jordon | Logan McDonald
161. Callum Mills | Hayden McLean | Ben Keays | Braeden Campbell
162. Daniel Curtin | William Edwards | Jake Soligo | Matt Roberts
163. Lachlan McAndrew | Sam Berry | Callum Mills | Izak Rankine
164. Daniel Curtin | William Edwards | James Jordon | Logan McDonald
165. Jai Serong | Jordan Dawson | Ben Keays | Zac Taylor
166. Lachlan McAndrew | Darcy Fogarty | Hugo Hall-Kahan | Max Michalanney
167. Lachlan McAndrew | Nick Blakey | Zac Taylor | Logan McDonald
168. Harry Cunningham | Josh Rachele | Jordan Dawson | Braeden Campbell
169. Lachlan McAndrew | Callum Mills | Josh Worrell | Tom Papley
170. Izak Rankine | Matt Roberts | Josh Worrell | Angus Sheldrick
171. Isaac Heeney | Darcy Fogarty | Jordan Dawson | Riley Bice
172. Isaac Heeney | Jake Soligo | Brayden Cook | Hayden McLean
173. Nick Blakey | Errol Gulden | Ben Keays | Toby Murray
174. Matt Roberts | James Jordon | James Rowbottom | Zac Taylor
175. Sam Berry | Tom McCartin | Jake Lloyd | Braeden Campbell
176. Daniel Curtin | Jai Serong | Logan McDonald | Malcolm Rosas
177. Riley Thilthorpe | James Rowbottom | Josh Worrell | James Peatling
178. James Rowbottom | Hayden McLean | Toby Murray | James Peatling
179. Jake Soligo | Dane Rampe | Riley Thilthorpe | Jordan Dawson
180. Chad Warner | Jake Soligo | Riley Thilthorpe | Angus Sheldrick
181. Izak Rankine | James Jordon | Toby Murray | Luke Nankervis
182. Chad Warner | Callum Mills | Mark Keane | Luke Nankervis
183. William Edwards | Alex Neal-Bullen | Nick Blakey | James Rowbottom
184. Darcy Fogarty | Jake Soligo | Hugo Hall-Kahan | Brayden Cook
185. Alex Neal-Bullen | Jake Soligo | Riley Thilthorpe | Luke Nankervis
186. Jake Soligo | Jordan Dawson | Jake Lloyd | James Peatling
187. Josh Rachele | Riley Bice | Zac Taylor | Malcolm Rosas
188. Dane Rampe | Riley Thilthorpe | Jordan Dawson | Angus Sheldrick
189. Isaac Heeney | Tom McCartin | Isaac Cumming | Ben Keays
190. Daniel Curtin | Darcy Fogarty | Jordan Dawson | Mark Keane
191. Chad Warner | Matt Roberts | Hayden McLean | Ben Keays
192. Lachlan McAndrew | Daniel Curtin | Callum Mills | Izak Rankine
193. William Edwards | Josh Worrell | James Borlase | Braeden Campbell
194. Brodie Grundy | William Edwards | Hugo Hall-Kahan | Ben Keays
195. Jordan Dawson | Riley Bice | Braeden Campbell | Angus Sheldrick
196. Matt Roberts | Charlie Curnow | James Borlase | Ben Keays
197. Chad Warner | Hugo Hall-Kahan | Mark Keane | Zac Taylor
198. Jordan Dawson | Ben Keays | Zac Taylor | James Peatling
199. Chad Warner | Josh Rachele | Brayden Cook | Zac Taylor
200. Brodie Grundy | Sam Berry | Chad Warner | Toby Murray
201. Lachlan McAndrew | William Edwards | Izak Rankine | Riley Bice
202. Lachlan McAndrew | Sam Berry | Nick Blakey | Isaac Cumming
203. Chad Warner | Jordan Dawson | Brayden Cook | Ben Keays
204. Lachlan McAndrew | Callum Mills | Darcy Fogarty | Harry Cunningham
205. Brodie Grundy | Dane Rampe | Nick Blakey | Angus Sheldrick
206. William Edwards | Errol Gulden | Josh Worrell | Charlie Curnow
207. Lachlan McAndrew | William Edwards | Riley Thilthorpe | Josh Worrell
208. Josh Rachele | James Rowbottom | Ben Keays | Luke Nankervis
209. Daniel Curtin | Callum Mills | Jordan Dawson | James Borlase
210. Callum Mills | Tom McCartin | Wayne Milera | Riley Bice
211. Harry Cunningham | Josh Rachele | Riley Thilthorpe | Logan McDonald
212. Chad Warner | Dane Rampe | Isaac Cumming | Hugo Hall-Kahan
213. Izak Rankine | James Jordon | Braeden Campbell | James Peatling
214. Isaac Heeney | Nick Blakey | Brayden Cook | Mark Keane
215. Jai Serong | Wayne Milera | Braeden Campbell | James Peatling
216. Isaac Cumming | James Jordon | James Rowbottom | Braeden Campbell
217. Nick Blakey | Izak Rankine | Riley Bice | Logan McDonald
218. Daniel Curtin | Tom McCartin | Jai Serong | Isaac Cumming
219. Nick Blakey | Matt Roberts | Jai Serong | Max Michalanney
220. Darcy Fogarty | Josh Rachele | James Borlase | Malcolm Rosas
221. Sam Berry | James Jordon | Logan McDonald | Luke Nankervis
222. Lachlan McAndrew | Errol Gulden | Tom Papley | James Peatling
223. Lachlan McAndrew | Isaac Cumming | Malcolm Rosas | Luke Nankervis
224. Jake Soligo | Riley Thilthorpe | Wayne Milera | Toby Murray
225. Tom McCartin | Josh Rachele | Jake Lloyd | Hayden McLean
226. Jake Soligo | Dane Rampe | Jai Serong | Charlie Curnow
227. Darcy Fogarty | Matt Roberts | Brayden Cook | Max Michalanney
228. Nick Blakey | Harry Cunningham | Jai Serong | James Peatling
229. Lachlan McAndrew | Isaac Heeney | Sam Berry | Harry Cunningham
230. Lachlan McAndrew | Hugo Hall-Kahan | Charlie Curnow | Angus Sheldrick
231. Lachlan McAndrew | Sam Berry | James Borlase | Riley Bice
232. Darcy Fogarty | Nick Blakey | Jai Serong | Jake Lloyd
233. William Edwards | Charlie Curnow | James Borlase | Toby Murray
234. Isaac Heeney | Chad Warner | Harry Cunningham | Logan McDonald
235. Daniel Curtin | Darcy Fogarty | Max Michalanney | Luke Nankervis
236. Sam Berry | James Rowbottom | James Borlase | Zac Taylor
237. Sam Berry | James Jordon | James Borlase | Braeden Campbell
238. Izak Rankine | Isaac Cumming | Charlie Curnow | Mark Keane
239. Dane Rampe | Harry Cunningham | Wayne Milera | Tom Papley
240. Isaac Heeney | Matt Roberts | Charlie Curnow | James Borlase
241. Darcy Fogarty | Max Michalanney | Logan McDonald | Malcolm Rosas
242. Sam Berry | Matt Roberts | James Jordon | James Rowbottom
243. Callum Mills | Tom McCartin | Josh Worrell | Riley Bice
244. Dane Rampe | James Rowbottom | Zac Taylor | Logan McDonald
245. Daniel Curtin | Jake Soligo | Errol Gulden | Luke Nankervis
246. Lachlan McAndrew | Alex Neal-Bullen | Dane Rampe | Toby Murray
247. Jake Soligo | Brayden Cook | Hayden McLean | Zac Taylor
248. Matt Roberts | James Jordon | Riley Bice | Toby Murray
249. Lachlan McAndrew | Hugo Hall-Kahan | James Jordon | Josh Worrell
250. Brodie Grundy | Wayne Milera | Tom Papley | Braeden Campbell
251. Izak Rankine | James Rowbottom | Ben Keays | Malcolm Rosas
252. Brodie Grundy | Daniel Curtin | Josh Rachele | Zac Taylor
253. Lachlan McAndrew | Matt Roberts | James Borlase | Logan McDonald
254. Daniel Curtin | Callum Mills | Tom McCartin | Isaac Cumming
255. Sam Berry | Alex Neal-Bullen | Nick Blakey | James Jordon
256. Darcy Fogarty | Josh Rachele | James Jordon | Tom Papley
257. Harry Cunningham | Josh Rachele | Matt Roberts | Malcolm Rosas
258. Nick Blakey | James Rowbottom | Max Michalanney | Toby Murray
259. Chad Warner | Dane Rampe | Riley Thilthorpe | Jake Lloyd
260. Darcy Fogarty | Dane Rampe | Hugo Hall-Kahan | Braeden Campbell
261. Lachlan McAndrew | Sam Berry | Jake Soligo | Hugo Hall-Kahan
262. Sam Berry | Tom McCartin | Errol Gulden | Malcolm Rosas
263. Alex Neal-Bullen | Harry Cunningham | Josh Rachele | Toby Murray
264. Brodie Grundy | Lachlan McAndrew | Izak Rankine | James Peatling
265. Alex Neal-Bullen | Jordan Dawson | Wayne Milera | Riley Bice
266. Daniel Curtin | Isaac Cumming | Hugo Hall-Kahan | Wayne Milera
267. Dane Rampe | Matt Roberts | James Borlase | Braeden Campbell
268. Callum Mills | Jake Soligo | James Rowbottom | James Peatling
269. Jake Soligo | Dane Rampe | Josh Rachele | Riley Thilthorpe
270. Errol Gulden | Jai Serong | Hugo Hall-Kahan | Max Michalanney
271. Harry Cunningham | Josh Rachele | Hayden McLean | Toby Murray
272. Sam Berry | Chad Warner | Zac Taylor | Luke Nankervis
273. Sam Berry | James Jordon | Josh Worrell | Ben Keays
274. Callum Mills | Matt Roberts | James Jordon | Wayne Milera
275. Chad Warner | Harry Cunningham | Matt Roberts | Luke Nankervis
276. Lachlan McAndrew | Sam Berry | Darcy Fogarty | Matt Roberts
277. Isaac Cumming | Josh Worrell | Mark Keane | Logan McDonald
278. Izak Rankine | Brayden Cook | Zac Taylor | Malcolm Rosas
279. Lachlan McAndrew | Chad Warner | Daniel Curtin | Charlie Curnow
280. William Edwards | Alex Neal-Bullen | Zac Taylor | Logan McDonald
281. Lachlan McAndrew | Isaac Heeney | Tom Papley | James Peatling
282. Brodie Grundy | James Rowbottom | Max Michalanney | Mark Keane
283. Jordan Dawson | Jake Lloyd | Mark Keane | Zac Taylor
284. Nick Blakey | Isaac Cumming | James Jordon | Angus Sheldrick
285. Josh Rachele | Riley Thilthorpe | Jai Serong | Zac Taylor
286. Riley Thilthorpe | James Borlase | Riley Bice | Malcolm Rosas
287. Sam Berry | Daniel Curtin | Charlie Curnow | Hayden McLean
288. Lachlan McAndrew | Isaac Heeney | James Rowbottom | James Borlase
289. Josh Rachele | Errol Gulden | James Borlase | Luke Nankervis
290. Lachlan McAndrew | Jake Soligo | Josh Rachele | Charlie Curnow
291. Sam Berry | Jai Serong | Hugo Hall-Kahan | James Borlase
292. Lachlan McAndrew | Callum Mills | Errol Gulden | Braeden Campbell
293. James Jordon | Jake Lloyd | Max Michalanney | Riley Bice
294. Lachlan McAndrew | Callum Mills | Harry Cunningham | Charlie Curnow
295. Chad Warner | Max Michalanney | Riley Bice | Malcolm Rosas
296. Darcy Fogarty | Nick Blakey | Zac Taylor | James Peatling
297. Isaac Heeney | Tom McCartin | Jake Soligo | Brayden Cook
298. Jai Serong | Jake Lloyd | James Borlase | Angus Sheldrick
299. Daniel Curtin | Alex Neal-Bullen | Tom Papley | Zac Taylor
300. Isaac Cumming | Josh Worrell | Tom Papley | Hayden McLean
301. Hugo Hall-Kahan | Zac Taylor | Malcolm Rosas | Luke Nankervis
302. Brodie Grundy | Riley Thilthorpe | Tom Papley | Max Michalanney
303. Hayden McLean | Riley Bice | Zac Taylor | Angus Sheldrick
304. Lachlan McAndrew | Dane Rampe | Harry Cunningham | James Jordon
305. Darcy Fogarty | Wayne Milera | Tom Papley | Zac Taylor
306. Jordan Dawson | Jake Lloyd | James Rowbottom | Max Michalanney
307. Errol Gulden | Ben Keays | Toby Murray | James Peatling
308. Riley Thilthorpe | Jai Serong | Hayden McLean | James Borlase
309. William Edwards | Jake Soligo | Josh Rachele | Brayden Cook
310. Daniel Curtin | Izak Rankine | Wayne Milera | Braeden Campbell
311. Chad Warner | Tom McCartin | Darcy Fogarty | Toby Murray
312. William Edwards | Darcy Fogarty | Josh Rachele | Izak Rankine
313. Daniel Curtin | Callum Mills | Hayden McLean | Braeden Campbell
314. Daniel Curtin | Isaac Cumming | Josh Worrell | Logan McDonald
315. Alex Neal-Bullen | Tom Papley | Max Michalanney | Zac Taylor
316. Isaac Heeney | Dane Rampe | Logan McDonald | Luke Nankervis
317. Callum Mills | Isaac Cumming | Jordan Dawson | Charlie Curnow
318. Dane Rampe | Jai Serong | Tom Papley | Malcolm Rosas
319. William Edwards | Jake Soligo | Nick Blakey | Zac Taylor
320. Lachlan McAndrew | Tom McCartin | Alex Neal-Bullen | Josh Worrell
321. Brodie Grundy | Sam Berry | Jordan Dawson | Tom Papley
322. Dane Rampe | Isaac Cumming | Charlie Curnow | Hayden McLean
323. James Borlase | Zac Taylor | James Peatling | Luke Nankervis
324. Errol Gulden | Brayden Cook | Hayden McLean | James Borlase
325. Lachlan McAndrew | Jake Lloyd | Hayden McLean | Zac Taylor
326. Lachlan McAndrew | Tom McCartin | Josh Rachele | Isaac Cumming
327. Izak Rankine | Jordan Dawson | James Peatling | Luke Nankervis
328. Chad Warner | Jake Soligo | Mark Keane | Ben Keays
329. Josh Rachele | Matt Roberts | Hugo Hall-Kahan | Riley Bice
330. Daniel Curtin | Isaac Cumming | Hugo Hall-Kahan | James Rowbottom
331. Isaac Heeney | Nick Blakey | Charlie Curnow | Malcolm Rosas
332. Tom McCartin | Dane Rampe | Jake Lloyd | Angus Sheldrick
333. Lachlan McAndrew | Callum Mills | Jordan Dawson | Ben Keays
334. Daniel Curtin | Alex Neal-Bullen | Darcy Fogarty | Hugo Hall-Kahan
335. Tom McCartin | Max Michalanney | Mark Keane | Logan McDonald
336. Callum Mills | Jake Soligo | Hugo Hall-Kahan | James Borlase
337. Sam Berry | Daniel Curtin | Braeden Campbell | Malcolm Rosas
338. Jake Soligo | Jordan Dawson | Wayne Milera | Josh Worrell
339. Izak Rankine | Hayden McLean | Braeden Campbell | Malcolm Rosas
340. Callum Mills | Hugo Hall-Kahan | Hayden McLean | Max Michalanney
341. Josh Worrell | Tom Papley | James Peatling | Malcolm Rosas
342. Riley Thilthorpe | Josh Worrell | Charlie Curnow | Toby Murray
343. Brodie Grundy | Sam Berry | Alex Neal-Bullen | Riley Thilthorpe
344. Matt Roberts | Max Michalanney | Ben Keays | Malcolm Rosas
345. Callum Mills | Jai Serong | Wayne Milera | Luke Nankervis
346. Lachlan McAndrew | Max Michalanney | James Borlase | Toby Murray
347. Isaac Heeney | Harry Cunningham | Max Michalanney | Mark Keane
348. Daniel Curtin | Jai Serong | Wayne Milera | Hayden McLean
349. Isaac Heeney | Callum Mills | Matt Roberts | Errol Gulden
350. Isaac Heeney | Sam Berry | Hugo Hall-Kahan | Logan McDonald
351. Sam Berry | Daniel Curtin | Darcy Fogarty | Josh Rachele
352. Daniel Curtin | Charlie Curnow | Riley Bice | Luke Nankervis
353. Callum Mills | Darcy Fogarty | Dane Rampe | Luke Nankervis
354. James Rowbottom | Josh Worrell | Max Michalanney | Mark Keane
355. Chad Warner | Darcy Fogarty | Wayne Milera | Malcolm Rosas
356. Tom McCartin | Alex Neal-Bullen | Tom Papley | Mark Keane
357. Chad Warner | William Edwards | Tom Papley | James Peatling
358. Daniel Curtin | Jai Serong | Isaac Cumming | Josh Worrell
359. Josh Rachele | Izak Rankine | Logan McDonald | Toby Murray
360. Harry Cunningham | Riley Thilthorpe | Malcolm Rosas | Luke Nankervis
361. Daniel Curtin | Dane Rampe | Nick Blakey | Hayden McLean
362. Brodie Grundy | Wayne Milera | James Borlase | James Peatling
363. Lachlan McAndrew | Matt Roberts | Jai Serong | Hayden McLean
364. Jake Soligo | Dane Rampe | Jai Serong | Tom Papley
365. Callum Mills | Tom McCartin | Alex Neal-Bullen | Angus Sheldrick
366. Brodie Grundy | Errol Gulden | Ben Keays | Toby Murray
367. Brodie Grundy | Lachlan McAndrew | Zac Taylor | Malcolm Rosas
368. William Edwards | Jordan Dawson | Wayne Milera | Zac Taylor
369. Isaac Heeney | Dane Rampe | Braeden Campbell | Toby Murray
370. Daniel Curtin | Matt Roberts | Jake Lloyd | Riley Bice
371. Sam Berry | William Edwards | Josh Rachele | Errol Gulden
372. Jake Soligo | James Rowbottom | Zac Taylor | Luke Nankervis
373. Matt Roberts | James Rowbottom | Mark Keane | Malcolm Rosas
374. Jake Soligo | Harry Cunningham | Jake Lloyd | Ben Keays
375. Errol Gulden | Jake Lloyd | James Borlase | Malcolm Rosas
376. Brodie Grundy | Sam Berry | James Rowbottom | Toby Murray
377. Isaac Heeney | Daniel Curtin | Jake Soligo | Zac Taylor
378. Lachlan McAndrew | Alex Neal-Bullen | Jake Soligo | Ben Keays
379. Isaac Heeney | Josh Worrell | Braeden Campbell | Luke Nankervis
380. Matt Roberts | Errol Gulden | Logan McDonald | Malcolm Rosas
381. Brodie Grundy | Harry Cunningham | Hugo Hall-Kahan | James Rowbottom
382. Tom McCartin | Hayden McLean | Max Michalanney | Luke Nankervis
383. Jordan Dawson | Hugo Hall-Kahan | Hayden McLean | Mark Keane
384. Matt Roberts | Josh Worrell | Tom Papley | Ben Keays
385. Isaac Heeney | Wayne Milera | Josh Worrell | Malcolm Rosas
386. Jake Soligo | Josh Rachele | Hayden McLean | Toby Murray
387. Isaac Heeney | Jake Soligo | Izak Rankine | Angus Sheldrick
388. Brodie Grundy | Matt Roberts | Isaac Cumming | Jordan Dawson
389. Callum Mills | Mark Keane | Angus Sheldrick | James Peatling
390. Tom McCartin | Hugo Hall-Kahan | Toby Murray | James Peatling
391. Brodie Grundy | Riley Thilthorpe | Max Michalanney | James Borlase
392. Tom McCartin | Izak Rankine | Max Michalanney | Luke Nankervis
393. Chad Warner | Darcy Fogarty | Isaac Cumming | Jordan Dawson
394. Daniel Curtin | Jake Soligo | Izak Rankine | Jake Lloyd
395. Lachlan McAndrew | Tom Papley | Ben Keays | Toby Murray
